Unnamed: 0,seed,n_exp,n_sim,num_weeks,num_agents,capacity,threshold,contagious_threshold,contagious_duration,SIR_AgentsRecoveryTime,people_memory_weight,contagious_thresholdNotPresent,num_contagious_agents,contagiousness,capacity_pct,mean_attendance,mean_contagious,mean_present_contagious,std_attendance,std_contagious,std_present_contagious
3116,78081388,sett24_4,3116,5,4000,4000,0.9,0.55,4,6,0.7,0.55,800,0.18,1.0,3571.3333333333335,533.3333333333334,475.0,3.0912061651652345,377.12361663282536,335.8958171814588
3117,49809261,sett24_4,3117,11,2000,2000,0.35,0.65,10,5,0.75,0.1,400,0.5,1.0,163.83333333333334,333.3333333333333,10.833333333333334,18.86280879284831,149.07119849998597,15.345104177626888
3118,30950714,sett24_4,3118,4,500,250,0.05,0.4,1,1,0.25,0.3,100,0.18,0.5,0.0,0.0,0.0,0.0,0.0,0.0
3119,4332806,sett24_4,3119,4,1500,750,0.7,0.5,3,7,0.8,0.65,300,0.36,0.5,750.0,200.0,124.0,0.0,141.4213562373095,87.92420978699022
3120,81865385,sett24_4,3120,9,1500,750,0.45,0.7,8,8,0.35,0.8,300,0.3,0.5,294.6,240.0,50.6,18.336848147923348,120.0,25.42911716910361
3121,59755949,sett24_4,3121,4,3000,1500,0.8,0.6,1,7,0.35,0.05,600,0.16,0.5,1387.6666666666667,0.0,0.0,90.2601179308386,0.0,0.0
3122,74118504,sett24_4,3122,5,1500,1500,0.15,0.1,4,8,0.65,0.2,300,0.24,1.0,16.666666666666668,200.0,1.3333333333333333,10.624918300339486,141.4213562373095,1.247219128924647
3123,90836803,sett24_4,3123,5,2500,1250,0.35,0.3,3,2,0.1,0.45,500,0.5,0.5,250.33333333333337,623.3333333333334,24.0,66.24365797736583,485.7354103716229,17.048949136725895
3124,88507862,sett24_4,3124,12,2500,1250,0.25,0.45,10,0,0.15,0.55,500,0.4,0.5,99.66666666666669,767.5,20.833333333333332,0.9428090415820634,388.7731772297741,11.06671686735602
3125,33524808,sett24_4,3125,6,500,500,0.15,0.2,5,9,0.15,0.35,100,0.42,1.0,27.0,66.66666666666667,4.0,0.0,47.14045207910317,2.8284271247461903
